"(Intercept)","Internal_Mobility_Index","External_Mobility_Index","Per_Capita_Income","Total_Households_Housed","Housing_Precariousness_Index","Higher_Education_Percentage","Commune"
-0.0459995610488098,0.0517911221255206,-0.100073613863153,0.186341301587788,-0.0901798704029623,-0.0172860490120963,-0.238430598795846,"Cerrillos"
-0.176916168141302,-0.107798599930307,-0.135354642462074,-0.262480459650432,-0.072773094381616,-0.0262591571655385,0.110241605446509,"Cerro Navia"
-0.0788959396229583,-0.0397139876210341,-0.0692709690154302,-0.101693731913906,-0.0408062815274523,-0.0104208523855531,0.0304339648185456,"Conchali"
0.0642194046623509,-0.041600216085097,0.0678526038501148,-0.412828061908914,0.0787359153936428,0.0729909414833353,0.43507852902631,"El Bosque"
0.173107282517718,0.203279205565404,0.0735162520723504,0.678699427967134,-0.00744135270823738,-0.0103163066982084,-0.525033513894011,"Estacion Central"
0.0961663182724944,0.106601971246958,0.0102213065998054,0.165774150287567,-0.0135468611226102,0.0354186682419085,-0.114231767722637,"Huechuraba"
-0.176086832389998,-0.296098143242452,0.0559587727030857,-0.664615298483628,0.11179307636113,-0.0433535924331429,0.578898388891938,"Independencia"
-0.153053375648637,-0.139502405279307,-0.0414225873685111,-0.171060465463672,-0.00563391374487004,-0.0596008374411538,0.083679942815844,"La Cisterna"
0.207798677059921,0.237728541616073,0.0666913117855363,0.652148029251274,-0.0145499947118997,0.0185103688858741,-0.492665416941059,"La Florida"
-0.271510444977362,-0.283670380260949,-0.0321123326033335,-0.355079608325614,0.0273527081195159,-0.114455559063317,0.21737151654738,"La Granja"
-0.0966950897870933,-0.00826583019667798,-0.149475868127138,-0.16531370712521,-0.0994495706137535,0.0177120610100147,0.0407538954122956,"La Pintana"
0.00225041170937226,-0.250462851080888,0.30520859159077,-0.272035041024594,0.267351157447692,-0.0780518644109799,0.409601339489444,"La Reina"
0.156311245180096,0.046974150554396,0.136207829567189,-0.0429041995582682,0.097864482842114,0.0550270217413254,0.162955804121246,"Las Condes"
0.0621496478533438,0.0458222580752541,0.00630555047344596,-0.0682656696431864,0.00381788200319497,0.0473963410735585,0.0866413697458169,"Lo Barnechea"
-0.179681706415926,-0.103877485016576,-0.146694048966621,-0.273638121965784,-0.0808808575242001,-0.0221425528299921,0.113597973351363,"Lo Espejo"
-0.0239725147786224,0.0408433428451108,-0.0870684185580183,0.0148923161534263,-0.0693258873246338,0.015848164226275,-0.0672384613418271,"Lo Prado"
-0.0901630099368501,-0.226008054543307,0.146761267287771,-0.269610111470477,0.147930749068289,-0.0774376540424791,0.293488277999119,"Macul"
0.250492187461321,0.0565035675553804,0.317789137317643,0.321570150209706,0.209071965979211,-0.00435447106523574,-0.0442194574084775,"Maipu"
0.171152083144675,0.0493885741923165,0.196665549005244,0.191564865375321,0.128296762013665,0.00880867970148187,-0.0151451706213016,"Nunoa"
0.0562060604952671,0.0170580139593752,0.0791669864294113,0.147149057249549,0.0478118445837295,-0.0144277084969746,-0.0744842186735669,"Pedro Aguirre Cerda"
0.0873445473005987,-0.101486140015567,0.269035843885909,0.0446980573871735,0.206241454726491,-0.0529730191745153,0.129138188340056,"Penaflor"
0.0510606906863886,0.162959962403607,-0.125058327805996,0.191963883908564,-0.120687475178783,0.0545182717097426,-0.224129187054526,"Providencia"
-0.155227412041158,-0.137741367758264,-0.0612811072915713,-0.248266902452818,-0.015889306422311,-0.0426405802213369,0.143260176173232,"Pudahuel"
-0.153687060692836,-0.0993308540406466,-0.11417850324048,-0.252661064974825,-0.0586545589795757,-0.0206930793433208,0.120116409892325,"Puente Alto"
0.0659998098430182,0.161850364597656,-0.0888655489002683,0.269520947293742,-0.0984925899609225,0.039512400365119,-0.271204220617193,"Quilicura"
-0.0956968793849063,-0.0521460442594062,-0.09526203072674,-0.213351590580892,-0.0520415580732701,0.00419673346371624,0.113451945990693,"Quinta Normal"
0.16077459153088,0.0784532363595616,0.162613525420243,0.303211383176452,0.0935527337119295,-0.000358706014036549,-0.13868420094258,"Recoleta"
-0.136229120392749,-0.0322245945610306,-0.156523550565745,-0.0990253362688332,-0.106013310955101,-0.0144491580706146,-0.0368863923021301,"Renca"
-0.0307838646794075,0.0559945830487583,-0.0981433778327235,0.118850770658307,-0.0852212041020829,0.00123009096009158,-0.170517022902493,"San Bernardo"
0.0301832323506627,0.0231698243209973,0.0113692937679657,0.0181350784715831,0.00484831312469106,0.0126924628804829,-0.00054229055430851,"San Joaquin"
0.135555633841621,0.111387588053966,0.022231873970312,-0.0173837366836316,0.00559891255070375,0.081829532948241,0.0729805576635548,"San Miguel"
0.00987467054133283,-0.0673058215314208,0.0986422718091051,-0.0509608076483402,0.0827808013844362,-0.0244300815910744,0.10160099500958,"San Ramon"
0.0545647522296715,0.612694245059654,-0.694057549787284,0.514137779732074,-0.606371770204045,0.230748977391127,-0.815771873766899,"Santiago"
0.0293877332563264,-0.0752677761946326,0.168604509619669,0.122516716377854,0.12491069866496,-0.0627894866315787,-0.0141070871248969,"Vitacura"
