"(Intercept)","Internal_Mobility_Index","External_Mobility_Index","Commune"
0.0276817848412035,0.132923378132759,-0.100382712830121,"Cerrillos"
-0.423735671110766,-0.0150564264024481,0.0190173422486011,"Cerro Navia"
-0.375921295011109,0.129443014133515,-0.0162985748463114,"Conchali"
0.190408848959371,0.0234734308024502,-0.0504929550611163,"El Bosque"
0.236555152611035,-0.0461595440373708,-0.0507479661194687,"Estacion Central"
-0.43129356683952,0.125587239185492,-0.014691583074251,"Huechuraba"
0.0750452808343081,-0.194209192793922,0.0542175001801275,"Independencia"
-0.0382133689428841,-0.0176184678305167,-0.0567144962435606,"La Cisterna"
-0.772650474114601,0.220523123029877,-0.0378389502316707,"La Florida"
-0.287821526725799,-0.0802067897775708,-0.00241081517497339,"La Granja"
0.0257527965524888,0.129296713337272,-0.0539541717122677,"La Pintana"
0.340860585444201,-0.21357047188613,0.043587686424713,"La Reina"
1.05233916563403,-0.211793104707696,0.0860009508553171,"Las Condes"
0.25802344168471,-0.0944549547482934,0.147346841691948,"Lo Barnechea"
0.0716780772138967,-0.0048009203214797,-0.0705510044256877,"Lo Espejo"
-0.602628982415831,0.137971440829268,0.0241825000942244,"Lo Prado"
0.162349475785677,-0.36973878679384,0.138938170920768,"Macul"
-0.306277503904128,0.0980089344662644,0.074484199112572,"Maipu"
0.253198925261153,0.0786979366876277,-0.146236141723787,"Nunoa"
-0.172778259133062,0.0533158642402529,-0.0288002518916732,"Pedro Aguirre Cerda"
-0.736966012767412,0.0397647400241941,0.10930986595865,"Penaflor"
1.09397544941153,-0.491650333769277,0.297783249067997,"Providencia"
-0.109065302477491,-0.068207555514318,0.052074683169661,"Pudahuel"
-0.0463051829556212,0.130383542992112,-0.0774161489513386,"Puente Alto"
-0.145699038036709,0.13321123364199,-0.053301148281275,"Quilicura"
-0.26319785012222,0.0676112389751737,0.00195402861115561,"Quinta Normal"
-0.393471416012338,0.139181639571045,-0.00827329521460147,"Recoleta"
-0.242185224684941,0.112765323283018,-0.0133323529173635,"Renca"
-0.31061985861747,0.214984458736642,-0.106041257162862,"San Bernardo"
-0.20853209772718,0.0443684942429874,-0.0225639767891929,"San Joaquin"
-0.359808627975607,0.147546934452817,-0.0250272125836584,"San Miguel"
0.43751984844912,-0.0143437738731795,-0.115772537558315,"San Ramon"
0.819877886611447,-0.289507054102139,0.188541453805102,"Santiago"
1.18190454026095,-0.0477413041927953,-0.186590919355487,"Vitacura"
