"sim_1","Commune","Date"
5.96905837832294,"Cerrillos","2020-03-31"
3.35487069103332,"Cerrillos","2020-04-01"
4.71678239149231,"Cerrillos","2020-04-02"
4.10114185251284,"Cerrillos","2020-04-03"
3.88556373073801,"Cerrillos","2020-04-04"
2.9963789762588,"Cerrillos","2020-04-05"
4.41377941499794,"Cerrillos","2020-04-06"
5.86132830217222,"Cerrillos","2020-04-07"
2.44681536216807,"Cerrillos","2020-04-08"
2.98030326823023,"Cerrillos","2020-04-09"
5.42618496697166,"Cerrillos","2020-04-10"
4.28801935023324,"Cerrillos","2020-04-11"
3.34785216598881,"Cerrillos","2020-04-12"
6.11501135800976,"Cerrillos","2020-04-13"
3.01830064050545,"Cerrillos","2020-04-14"
1.94172538624891,"Cerrillos","2020-04-15"
4.08998597211311,"Cerrillos","2020-04-16"
3.29056781222626,"Cerrillos","2020-04-17"
4.41448266301694,"Cerrillos","2020-04-18"
3.52778973202707,"Cerrillos","2020-04-19"
3.91678839815303,"Cerrillos","2020-04-20"
8.1386039194933,"Cerrillos","2020-04-21"
2.07946593011447,"Cerrillos","2020-04-22"
2.70961011879951,"Cerrillos","2020-04-23"
4.69600360948524,"Cerrillos","2020-04-24"
5.41206579554793,"Cerrillos","2020-04-25"
3.91589401833982,"Cerrillos","2020-04-26"
2.26982511942602,"Cerrillos","2020-04-27"
5.77804249176259,"Cerrillos","2020-04-28"
2.21349960475177,"Cerrillos","2020-04-29"
1.51836980844018,"Cerrillos","2020-04-30"
1.94815592660484,"Cerrillos","2020-05-01"
3.74605214651402,"Cerrillos","2020-05-02"
4.12732107915632,"Cerrillos","2020-05-03"
5.05429150842315,"Cerrillos","2020-05-04"
4.68940493345913,"Cerrillos","2020-05-05"
1.30574712150511,"Cerrillos","2020-05-06"
3.3085737595938,"Cerrillos","2020-05-07"
5.04602399611395,"Cerrillos","2020-05-08"
3.4920985354856,"Cerrillos","2020-05-09"
4.63542747942837,"Cerrillos","2020-05-10"
6.50688052408243,"Cerrillos","2020-05-11"
3.69225219437449,"Cerrillos","2020-05-12"
4.65859565414381,"Cerrillos","2020-05-13"
1.73471645845235,"Cerrillos","2020-05-14"
1.6131300172956,"Cerrillos","2020-05-15"
4.58099152126697,"Cerrillos","2020-05-16"
4.12299953778437,"Cerrillos","2020-05-17"
4.91905888600048,"Cerrillos","2020-05-18"
6.4499031566581,"Cerrillos","2020-05-19"
4.18418349645739,"Cerrillos","2020-05-20"
2.20595869661773,"Cerrillos","2020-05-21"
3.41899130094782,"Cerrillos","2020-05-22"
3.2535013294675,"Cerrillos","2020-05-23"
5.78367369576005,"Cerrillos","2020-05-24"
6.05959556056159,"Cerrillos","2020-05-25"
1.70491824899747,"Cerrillos","2020-05-26"
2.61895383264657,"Cerrillos","2020-05-27"
4.41837117820876,"Cerrillos","2020-05-28"
4.51597806281916,"Cerrillos","2020-05-29"
7.19564406393117,"Cerrillos","2020-05-30"
5.85633572261397,"Cerrillos","2020-05-31"
5.04077948752677,"Cerrillos","2020-06-01"
4.86028822267448,"Cerrillos","2020-06-02"
2.20051589405158,"Cerrillos","2020-06-03"
3.95682307949766,"Cerrillos","2020-06-04"
6.35328961795944,"Cerrillos","2020-06-05"
2.92054254604237,"Cerrillos","2020-06-06"
6.18231585006201,"Cerrillos","2020-06-07"
8.48613074501067,"Cerrillos","2020-06-08"
6.24474710986887,"Cerrillos","2020-06-09"
2.41233049643945,"Cerrillos","2020-06-10"
5.64878696617392,"Cerrillos","2020-06-11"
6.09566037724519,"Cerrillos","2020-06-12"
2.71200227406157,"Cerrillos","2020-06-13"
2.312275964041,"Cerrillos","2020-06-14"
5.43945927149626,"Cerrillos","2020-06-15"
5.0436846919998,"Cerrillos","2020-06-16"
4.23245893237183,"Cerrillos","2020-06-17"
4.3504452058611,"Cerrillos","2020-06-18"
5.18900139402408,"Cerrillos","2020-06-19"
3.77046587697549,"Cerrillos","2020-06-20"
2.45986866970439,"Cerrillos","2020-06-21"
4.25624801085885,"Cerrillos","2020-06-22"
5.32895166881174,"Cerrillos","2020-06-23"
4.45804128930162,"Cerrillos","2020-06-24"
4.36277171495295,"Cerrillos","2020-06-25"
6.12633731239701,"Cerrillos","2020-06-26"
3.54632123778775,"Cerrillos","2020-06-27"
1.88766589499711,"Cerrillos","2020-06-28"
2.85885325862767,"Cerrillos","2020-06-29"
1.81944604333414,"Cerrillos","2020-06-30"
5.01044777701668,"Cerrillos","2020-07-01"
6.64158985129779,"Cerrillos","2020-07-02"
3.35085002706679,"Cerrillos","2020-07-03"
2.72643476328946,"Cerrillos","2020-07-04"
2.29468449570544,"Cerrillos","2020-07-05"
3.11674460378413,"Cerrillos","2020-07-06"
2.77489524581451,"Cerrillos","2020-07-07"
3.48452524423277,"Cerrillos","2020-07-08"
